Alaska,150.074,434.259,235.523,417.169
North West,729.768,458.673,822.541,448.907
Alberta,519.807,558.77,629.67,556.329
Ontario,763.948,578.302,829.866,575.86
Quebec,1086.21,595.391,1152.13,605.157
Western United States,651.643,746.759,717.561,744.317
Eastern United States,1012.97,815.118,1012.97,866.388
Central America,768.83,1029.96,803.01,1078.79
Greenland,1276.64,158.38,1398.71,158.38
Venezuela,1052.03,1298.52,1105.74,1291.19
Peru,1017.85,1371.76,1074.01,1388.85
Argentina,1149.69,1650.08,1122.83,1711.11
Brazil,1264.44,1318.05,1366.97,1318.05
Iceland,1774.69,370.782,1833.28,368.341
England,1720.98,649.102,1786.9,610.04
Western Europe,1799.1,824.884,1867.46,800.469
Northern Europe,1940.71,673.516,1982.21,666.192
Southern Europe,1987.09,763.848,2028.6,768.731
Scandinavia,1977.33,446.446,2018.83,412.286
Russia,2299.59,500.177,2387.48,502.618
North Africa,1789.34,966.485,1884.55,968.927
Egypt,2087.19,934.747,2148.22,942.071
East Africa,2209.26,1103.2,2177.52,1169.12
Congo,2001.74,1247.25,2077.42,1244.81
South Africa,2038.36,1464.53,2121.37,1469.41
Madagascar,2370.39,1510.92,2397.25,1454.77
Middle East,2299.59,961.602,2326.45,1039.73
Afghanistan,2441.19,717.462,2526.64,727.227
India,2585.24,956.72,2670.69,951.837
Siam,2856.23,1020.2,2907.5,1115.41
China,2929.48,920.098,3014.92,946.954
Mongolia,3144.32,707.696,3139.44,790.704
Ural,2590.12,539.239,2663.36,539.239
Siberia,2829.38,341.485,2927.03,341.485
Irkutsk,3144.32,546.563,3146.76,612.481
Yakutsk,3241.98,348.809,3310.33,358.575
Kamchatka,3461.7,400.079,3657.01,412.286
Japan,3388.46,873.712,3442.17,888.36
Indonesia,3019.81,1340.02,2985.63,1418.15
New Guinea,3410.43,1310.72,3469.03,1357.11
Eastern Australia,3354.28,1571.95,3451.94,1586.6
Western Australia,3290.8,1662.29,3364.05,1662.29
